workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
4,One,5,8532,0.4,0.4,discrete,square,no,0.45,0.1,-0.05,0.3,0.25,0,discretesquare
4,One,9,6861,0.3,0.6,discrete,square,no,0.7,0.1,-0.4,0.5,0.1,0,discretesquare
4,One,1,20762,0.8,0.4,discrete,square,no,0.45,0.1,0.35,0.3,0.65,0,discretesquare
3,One,12,5628,0.95,0.1,discrete,arc,no,0.95,0.1,0,0,0,1,discretearc
4,One,8,6778,0.8,0.4,discrete,arc,no,0.45,0.1,0.35,0.3,0.65,0,discretearc
4,One,10,5780,0.45,0.1,discrete,square,yes,0.3,0.6,0.15,-0.5,-0.35,0,vsupdiscretesquare
4,One,13,9123,0.4,0.8,discrete,arc,yes,0.7,0.1,-0.3,0.7,0.4,0,vsupdiscretearc
4,One,12,11605,0.2,0.1,discrete,square,yes,0.8,0.6,-0.6,-0.5,-1.1,0,vsupdiscretesquare
4,One,11,16252,0.3,0.6,discrete,arc,no,0.2,0.1,0.1,0.5,0.6,0,discretearc
4,One,15,7338,0.4,0.8,discrete,arc,yes,0.1,0.4,0.3,0.4,0.7,0,vsupdiscretearc
4,One,16,6300,0.8,0.6,discrete,square,yes,0.7,0.4,0.1,0.2,0.3,0,vsupdiscretesquare
5,One,3,16430,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
5,One,5,10136,0.45,0.1,discrete,arc,no,0.45,0.1,0,0,0,1,discretearc
5,One,2,15101,0.4,0.4,discrete,square,yes,0.4,0.4,0,0,0,1,vsupdiscretesquare
4,One,14,4187,0.7,0.4,discrete,arc,yes,0.45,0.1,0.25,0.3,0.55,0,vsupdiscretearc
5,One,1,33243,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
3,One,7,7996,0.45,0.1,discrete,arc,yes,0.45,0.1,0,0,0,1,vsupdiscretearc
5,One,4,12073,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
5,One,7,12731,0.95,0.1,discrete,arc,yes,0.95,0.1,0,0,0,1,vsupdiscretearc
5,One,9,9594,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
5,One,11,5689,0.8,0.6,discrete,square,no,0.8,0.6,0,0,0,1,discretesquare
5,One,6,11102,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
5,One,15,6916,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
5,One,13,8864,0.4,0.4,discrete,square,no,0.4,0.4,0,0,0,1,discretesquare
5,One,12,8402,0.8,0.4,discrete,arc,no,0.95,0.1,-0.15,0.3,0.15,0,discretearc
5,One,10,9787,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
5,One,8,11173,0.95,0.1,discrete,square,yes,0.95,0.1,0,0,0,1,vsupdiscretesquare
6,One,1,45116,0.8,0.4,discrete,arc,yes,0.8,0.4,0,0,0,1,vsupdiscretearc
6,One,2,23623,0.95,0.1,discrete,arc,yes,0.95,0.1,0,0,0,1,vsupdiscretearc
6,One,5,19835,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
6,One,4,29145,0.3,0.6,discrete,arc,no,0.3,0.6,0,0,0,1,discretearc
5,One,14,10205,0.3,0.6,discrete,square,no,0.3,0.6,0,0,0,1,discretesquare
6,One,6,15228,0.7,0.1,discrete,square,yes,0.7,0.1,0,0,0,1,vsupdiscretesquare
6,One,3,15936,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
5,One,16,6418,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
6,One,10,10096,0.1,0.4,discrete,arc,yes,0.1,0.4,0,0,0,1,vsupdiscretearc
6,One,7,12710,0.1,0.4,discrete,arc,yes,0.1,0.4,0,0,0,1,vsupdiscretearc
6,One,12,16616,0.8,0.4,discrete,square,no,0.8,0.6,0,-0.2,-0.2,0,discretesquare
6,One,14,10811,0.1,0.4,discrete,square,no,0.1,0.4,0,0,0,1,discretesquare
6,One,11,11534,0.7,0.1,discrete,arc,no,0.7,0.1,0,0,0,1,discretearc
6,One,15,18203,0.4,0.8,discrete,square,yes,0.4,0.8,0,0,0,1,vsupdiscretesquare
6,One,16,10715,0.95,0.1,discrete,square,no,0.95,0.1,0,0,0,1,discretesquare
6,One,9,11189,0.45,0.1,discrete,arc,no,0.45,0.1,0,0,0,1,discretearc
7,One,3,9960,0.8,0.6,discrete,square,yes,0.8,0.6,0,0,0,1,vsupdiscretesquare
7,One,1,31650,0.3,0.6,discrete,square,yes,0.3,0.6,0,0,0,1,vsupdiscretesquare
7,One,2,11041,0.1,0.4,discrete,square,yes,0.1,0.4,0,0,0,1,vsupdiscretesquare
7,One,5,8924,0.7,0.4,discrete,arc,no,0.7,0.4,0,0,0,1,discretearc
7,One,4,8470,0.8,0.6,discrete,arc,yes,0.8,0.6,0,0,0,1,vsupdiscretearc
7,One,6,5960,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
7,One,7,8571,0.4,0.4,discrete,arc,yes,0.4,0.4,0,0,0,1,vsupdiscretearc
7,One,9,11958,0.4,0.8,discrete,square,no,0.4,0.8,0,0,0,1,discretesquare
7,One,10,7700,0.8,0.4,discrete,arc,no,0.8,0.4,0,0,0,1,discretearc
7,One,8,6733,0.45,0.1,discrete,arc,no,0.45,0.1,0,0,0,1,discretearc
6,One,8,16048,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
7,One,11,6472,0.3,0.6,discrete,square,no,0.4,0.8,-0.1,-0.2,-0.3,0,discretesquare
6,One,13,26463,0.4,0.8,discrete,square,yes,0.4,0.8,0,0,0,1,vsupdiscretesquare
7,One,12,9209,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
8,One,2,20157,0.95,0.1,discrete,arc,yes,0.95,0.1,0,0,0,1,vsupdiscretearc
7,One,13,6234,0.95,0.1,discrete,arc,yes,0.95,0.1,0,0,0,1,vsupdiscretearc
7,One,15,11250,0.2,0.1,discrete,square,yes,0.2,0.1,0,0,0,1,vsupdiscretesquare
8,One,4,15657,0.7,0.1,discrete,square,no,0.7,0.1,0,0,0,1,discretesquare
8,One,1,23031,0.8,0.4,discrete,arc,no,0.8,0.4,0,0,0,1,discretearc
8,One,6,12652,0.2,0.1,discrete,square,no,0.2,0.1,0,0,0,1,discretesquare
7,One,14,4809,0.4,0.4,discrete,arc,no,0.4,0.4,0,0,0,1,discretearc
7,One,16,7131,0.7,0.4,discrete,square,no,0.7,0.4,0,0,0,1,discretesquare
