workerId,task,index,rt,v,u,binned,shape,vsup,qV,qU,vError,uError,error,correct,condition
17,One,34,468,0.45,0.1,discrete,square,yes,0.4,0.8,0.05,-0.7,-0.65,0,vsupdiscretesquare
17,One,43,572,0.4,0.8,discrete,square,no,0.7,0.1,-0.3,0.7,0.4,0,discretesquare
17,One,38,557,0.3,0.6,continuous,square,no,0.8,0.4,-0.5,0.2,-0.3,0,continuoussquare
17,One,41,251,0.8,0.6,continuous,arc,no,0.1,0.4,0.7,0.2,0.9,0,continuousarc
17,One,44,637,0.7,0.4,continuous,juxtaposed,no,0.3,0.6,0.4,-0.2,0.2,0,continuousjuxtaposed
17,One,40,482,0.7,0.1,discrete,arc,no,0.45,0.1,0.25,0,0.25,0,discretearc
17,One,35,389,0.7,0.4,discrete,square,no,0.2,0.1,0.5,0.3,0.8,0,discretesquare
17,One,48,340,0.7,0.1,discrete,arc,yes,0.7,0.1,0,0,0,1,vsupdiscretearc
17,One,46,589,0.8,0.4,discrete,juxtaposed,no,0.4,0.8,0.4,-0.4,0,1,discretejuxtaposed
17,One,49,305,0.7,0.1,continuous,arc,no,0.7,0.4,0,-0.3,-0.3,0,continuousarc
17,One,50,398,0.4,0.4,continuous,arc,no,0.95,0.1,-0.55,0.3,-0.25,0,continuousarc
17,One,45,598,0.45,0.1,continuous,juxtaposed,no,0.8,0.6,-0.35,-0.5,-0.85,0,continuousjuxtaposed
17,One,52,483,0.8,0.4,discrete,arc,no,0.4,0.4,0.4,0,0.4,0,discretearc
17,One,42,645,0.7,0.1,discrete,arc,no,0.8,0.4,-0.1,-0.3,-0.4,0,discretearc
17,One,47,318,0.4,0.8,continuous,juxtaposed,no,0.45,0.1,-0.05,0.7,0.65,0,continuousjuxtaposed
17,One,55,783,0.3,0.6,continuous,arc,no,0.1,0.4,0.2,0.2,0.4,0,continuousarc
17,One,56,581,0.7,0.4,discrete,juxtaposed,no,0.3,0.6,0.4,-0.2,0.2,0,discretejuxtaposed
17,One,53,499,0.7,0.1,discrete,square,yes,0.8,0.4,-0.1,-0.3,-0.4,0,vsupdiscretesquare
